# FONLL heavy quark hadroproduction cross section, calculated on Tue Mar 24 20:48:14 CET 2020
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = D from a single B. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# BR(B->D) = 1
# ebeam1 = 2515, ebeam2 = 2515
# PDF set = CTEQ6.6
# ptmin = 0.025
# ptmax = 50.025
# ymin  = -0.5
# ymax  = 0.5
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
pt central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
2.0750 7.7570e+06 4.6812e+06 1.1396e+07 5.0500e+06 1.0990e+07 6.6000e+06 9.1700e+06 6.8660e+06 8.6480e+06 7.8290e+06 7.4750e+06 9.5070e+06 5.7980e+06 1.0990e+07 5.0500e+06
2.1250 7.6250e+06 4.6177e+06 1.1195e+07 4.9780e+06 1.0800e+07 6.4950e+06 9.0040e+06 6.7530e+06 8.4980e+06 7.7090e+06 7.3430e+06 9.3380e+06 5.7010e+06 1.0800e+07 4.9780e+06
2.1750 7.4890e+06 4.5507e+06 1.0984e+07 4.9030e+06 1.0600e+07 6.3850e+06 8.8350e+06 6.6360e+06 8.3420e+06 7.5860e+06 7.2070e+06 9.1650e+06 5.6010e+06 1.0600e+07 4.9030e+06
2.2250 7.3510e+06 4.4801e+06 1.0773e+07 4.8250e+06 1.0400e+07 6.2720e+06 8.6620e+06 6.5160e+06 8.1850e+06 7.4580e+06 7.0680e+06 8.9880e+06 5.4990e+06 1.0400e+07 4.8250e+06
2.2750 7.2100e+06 4.4103e+06 1.0553e+07 4.7460e+06 1.0190e+07 6.1590e+06 8.4880e+06 6.3960e+06 8.0240e+06 7.3280e+06 6.9270e+06 8.8080e+06 5.3960e+06 1.0190e+07 4.7460e+06
2.3250 7.0670e+06 4.3375e+06 1.0339e+07 4.6650e+06 9.9870e+06 6.0430e+06 8.3110e+06 6.2720e+06 7.8620e+06 7.1960e+06 6.7840e+06 8.6270e+06 5.2900e+06 9.9870e+06 4.6650e+06
2.3750 6.9210e+06 4.2629e+06 1.0117e+07 4.5820e+06 9.7760e+06 5.9240e+06 8.1300e+06 6.1460e+06 7.6960e+06 7.0620e+06 6.6390e+06 8.4420e+06 5.1830e+06 9.7760e+06 4.5820e+06
2.4250 6.7740e+06 4.1873e+06 9.8932e+06 4.4980e+06 9.5630e+06 5.8040e+06 7.9490e+06 6.0190e+06 7.5290e+06 6.9250e+06 6.4930e+06 8.2550e+06 5.0750e+06 9.5630e+06 4.4980e+06
2.4750 6.6270e+06 4.1108e+06 9.6691e+06 4.4130e+06 9.3500e+06 5.6840e+06 7.7670e+06 5.8920e+06 7.3620e+06 6.7870e+06 6.3460e+06 8.0690e+06 4.9660e+06 9.3500e+06 4.4130e+06
2.5250 6.4790e+06 4.0342e+06 9.4454e+06 4.3280e+06 9.1370e+06 5.5630e+06 7.5850e+06 5.7640e+06 7.1940e+06 6.6490e+06 6.1990e+06 7.8820e+06 4.8570e+06 9.1370e+06 4.3280e+06
