# FONLL heavy quark hadroproduction cross section, calculated on Fri Mar 12 22:30:35 CET 2021
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = meson. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# ebeam1 = 2515, ebeam2 = 2515
# PDF set = CTEQ6.6
# ptmin = 0.05
# ptmax = 149.95
# ymin  = -0.5
# ymax  = 0.5
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
pt central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
4.6500 3.5778e+06 2.2945e+06 5.1928e+06 2.4468e+06 5.0451e+06 3.1016e+06 4.1383e+06 3.2022e+06 3.9534e+06 3.7394e+06 3.3958e+06 4.3372e+06 2.6835e+06 5.0451e+06 2.4468e+06
4.7500 3.4916e+06 2.2521e+06 5.0653e+06 2.3991e+06 4.9247e+06 3.0324e+06 4.0309e+06 3.1285e+06 3.8547e+06 3.6621e+06 3.3073e+06 4.2279e+06 2.6186e+06 4.9247e+06 2.3991e+06
4.8500 3.4054e+06 2.2091e+06 4.9380e+06 2.3508e+06 4.8043e+06 2.9629e+06 3.9240e+06 3.0546e+06 3.7563e+06 3.5841e+06 3.2193e+06 4.1188e+06 2.5538e+06 4.8043e+06 2.3508e+06
4.9500 3.3196e+06 2.1654e+06 4.8111e+06 2.3020e+06 4.6840e+06 2.8932e+06 3.8179e+06 2.9807e+06 3.6584e+06 3.5057e+06 3.1320e+06 4.0102e+06 2.4892e+06 4.6840e+06 2.3020e+06
5.0500 3.2341e+06 2.1214e+06 4.6849e+06 2.2530e+06 4.5641e+06 2.8236e+06 3.7127e+06 2.9070e+06 3.5612e+06 3.4271e+06 3.0454e+06 3.9024e+06 2.4250e+06 4.5641e+06 2.2530e+06
5.1500 3.1493e+06 2.0771e+06 4.5598e+06 2.2038e+06 4.4449e+06 2.7543e+06 3.6089e+06 2.8336e+06 3.4649e+06 3.3485e+06 2.9599e+06 3.7956e+06 2.3613e+06 4.4449e+06 2.2038e+06
5.2500 3.0653e+06 2.0327e+06 4.4359e+06 2.1547e+06 4.3268e+06 2.6854e+06 3.5064e+06 2.7608e+06 3.3698e+06 3.2701e+06 2.8756e+06 3.6899e+06 2.2983e+06 4.3268e+06 2.1547e+06
5.3500 2.9823e+06 1.9883e+06 4.3135e+06 2.1057e+06 4.2098e+06 2.6170e+06 3.4055e+06 2.6887e+06 3.2759e+06 3.1920e+06 2.7925e+06 3.5857e+06 2.2361e+06 4.2098e+06 2.1057e+06
5.4500 2.9004e+06 1.9439e+06 4.1928e+06 2.0569e+06 4.0943e+06 2.5493e+06 3.3063e+06 2.6173e+06 3.1834e+06 3.1144e+06 2.7109e+06 3.4830e+06 2.1747e+06 4.0943e+06 2.0569e+06
5.5500 2.8197e+06 1.8997e+06 4.0739e+06 2.0084e+06 3.9803e+06 2.4824e+06 3.2089e+06 2.5469e+06 3.0924e+06 3.0375e+06 2.6307e+06 3.3819e+06 2.1143e+06 3.9803e+06 2.0084e+06
5.6500 2.7403e+06 1.8557e+06 3.9569e+06 1.9602e+06 3.8681e+06 2.4163e+06 3.1134e+06 2.4774e+06 3.0031e+06 2.9613e+06 2.5522e+06 3.2827e+06 2.0549e+06 3.8681e+06 1.9602e+06
5.7500 2.6623e+06 1.8120e+06 3.8421e+06 1.9125e+06 3.7577e+06 2.3512e+06 3.0199e+06 2.4091e+06 2.9155e+06 2.8859e+06 2.4753e+06 3.1854e+06 1.9966e+06 3.7577e+06 1.9125e+06
5.8500 2.5858e+06 1.7686e+06 3.7295e+06 1.8653e+06 3.6494e+06 2.2872e+06 2.9285e+06 2.3420e+06 2.8297e+06 2.8114e+06 2.4002e+06 3.0901e+06 1.9394e+06 3.6494e+06 1.8653e+06
5.9500 2.5109e+06 1.7257e+06 3.6192e+06 1.8187e+06 3.5431e+06 2.2242e+06 2.8391e+06 2.2760e+06 2.7457e+06 2.7380e+06 2.3268e+06 2.9968e+06 1.8834e+06 3.5431e+06 1.8187e+06
6.0500 2.4375e+06 1.6833e+06 3.5112e+06 1.7727e+06 3.4389e+06 2.1624e+06 2.7520e+06 2.2114e+06 2.6636e+06 2.6656e+06 2.2552e+06 2.9057e+06 1.8286e+06 3.4389e+06 1.7727e+06
6.1500 2.3658e+06 1.6414e+06 3.4057e+06 1.7273e+06 3.3370e+06 2.1018e+06 2.6670e+06 2.1481e+06 2.5834e+06 2.5944e+06 2.1854e+06 2.8168e+06 1.7751e+06 3.3370e+06 1.7273e+06
6.2500 2.2957e+06 1.6001e+06 3.3027e+06 1.6826e+06 3.2374e+06 2.0425e+06 2.5842e+06 2.0862e+06 2.5052e+06 2.5244e+06 2.1174e+06 2.7300e+06 1.7228e+06 3.2374e+06 1.6826e+06
6.3500 2.2273e+06 1.5594e+06 3.2022e+06 1.6387e+06 3.1402e+06 1.9844e+06 2.5036e+06 2.0256e+06 2.4290e+06 2.4557e+06 2.0512e+06 2.6455e+06 1.6718e+06 3.1402e+06 1.6387e+06
6.4500 2.1606e+06 1.5193e+06 3.1042e+06 1.5956e+06 3.0453e+06 1.9277e+06 2.4252e+06 1.9665e+06 2.3548e+06 2.3883e+06 1.9869e+06 2.5632e+06 1.6221e+06 3.0453e+06 1.5956e+06
6.5500 2.0956e+06 1.4800e+06 3.0087e+06 1.5532e+06 2.9527e+06 1.8722e+06 2.3490e+06 1.9088e+06 2.2825e+06 2.3222e+06 1.9244e+06 2.4831e+06 1.5736e+06 2.9527e+06 1.5532e+06
6.6500 2.0323e+06 1.4413e+06 2.9158e+06 1.5117e+06 2.8625e+06 1.8180e+06 2.2750e+06 1.8525e+06 2.2122e+06 2.2576e+06 1.8637e+06 2.4052e+06 1.5265e+06 2.8625e+06 1.5117e+06
6.7500 1.9708e+06 1.4034e+06 2.8254e+06 1.4711e+06 2.7747e+06 1.7652e+06 2.2031e+06 1.7976e+06 2.1438e+06 2.1943e+06 1.8048e+06 2.3295e+06 1.4806e+06 2.7747e+06 1.4711e+06
6.8500 1.9108e+06 1.3662e+06 2.7375e+06 1.4312e+06 2.6893e+06 1.7137e+06 2.1334e+06 1.7442e+06 2.0774e+06 2.1324e+06 1.7476e+06 2.2560e+06 1.4360e+06 2.6893e+06 1.4312e+06
6.9500 1.8526e+06 1.3297e+06 2.6520e+06 1.3922e+06 2.6062e+06 1.6635e+06 2.0657e+06 1.6922e+06 2.0129e+06 2.0718e+06 1.6921e+06 2.1846e+06 1.3926e+06 2.6062e+06 1.3922e+06
7.0500 1.7960e+06 1.2908e+06 2.5691e+06 1.3505e+06 2.5255e+06 1.6146e+06 2.0002e+06 1.6417e+06 1.9503e+06 2.0127e+06 1.6383e+06 2.1154e+06 1.3505e+06 2.5255e+06 1.3540e+06
7.1500 1.7410e+06 1.2527e+06 2.4885e+06 1.3096e+06 2.4470e+06 1.5671e+06 1.9366e+06 1.5925e+06 1.8896e+06 1.9549e+06 1.5862e+06 2.0482e+06 1.3096e+06 2.4470e+06 1.3167e+06
7.2500 1.6877e+06 1.2156e+06 2.4104e+06 1.2698e+06 2.3709e+06 1.5208e+06 1.8750e+06 1.5447e+06 1.8306e+06 1.8987e+06 1.5358e+06 1.9831e+06 1.2698e+06 2.3709e+06 1.2803e+06
7.3500 1.6359e+06 1.1795e+06 2.3346e+06 1.2313e+06 2.2969e+06 1.4758e+06 1.8154e+06 1.4982e+06 1.7735e+06 1.8439e+06 1.4869e+06 1.9200e+06 1.2313e+06 2.2969e+06 1.2449e+06
7.4500 1.5856e+06 1.1445e+06 2.2610e+06 1.1939e+06 2.2252e+06 1.4321e+06 1.7576e+06 1.4531e+06 1.7182e+06 1.7907e+06 1.4396e+06 1.8588e+06 1.1939e+06 2.2252e+06 1.2104e+06
7.5500 1.5369e+06 1.1105e+06 2.1898e+06 1.1577e+06 2.1556e+06 1.3896e+06 1.7017e+06 1.4093e+06 1.6645e+06 1.7390e+06 1.3938e+06 1.7996e+06 1.1577e+06 2.1556e+06 1.1769e+06
7.6500 1.4897e+06 1.0775e+06 2.1207e+06 1.1225e+06 2.0882e+06 1.3483e+06 1.6476e+06 1.3668e+06 1.6125e+06 1.6888e+06 1.3495e+06 1.7423e+06 1.1225e+06 2.0882e+06 1.1443e+06
7.7500 1.4439e+06 1.0455e+06 2.0539e+06 1.0885e+06 2.0228e+06 1.3082e+06 1.5953e+06 1.3256e+06 1.5622e+06 1.6400e+06 1.3067e+06 1.6868e+06 1.0885e+06 2.0228e+06 1.1126e+06
7.8500 1.3995e+06 1.0144e+06 1.9891e+06 1.0554e+06 1.9595e+06 1.2693e+06 1.5447e+06 1.2856e+06 1.5134e+06 1.5924e+06 1.2652e+06 1.6331e+06 1.0554e+06 1.9595e+06 1.0816e+06
7.9500 1.3565e+06 9.8426e+05 1.9264e+06 1.0235e+06 1.8981e+06 1.2316e+06 1.4957e+06 1.2468e+06 1.4663e+06 1.5461e+06 1.2251e+06 1.5812e+06 1.0235e+06 1.8981e+06 1.0514e+06
8.0500 1.3149e+06 9.5503e+05 1.8657e+06 9.9249e+05 1.8387e+06 1.1950e+06 1.4484e+06 1.2092e+06 1.4206e+06 1.5010e+06 1.1864e+06 1.5310e+06 9.9249e+05 1.8387e+06 1.0220e+06
8.1500 1.2746e+06 9.2669e+05 1.8069e+06 9.6249e+05 1.7812e+06 1.1594e+06 1.4026e+06 1.1728e+06 1.3764e+06 1.4570e+06 1.1489e+06 1.4824e+06 9.6249e+05 1.7812e+06 9.9322e+05
8.2500 1.2356e+06 8.9922e+05 1.7501e+06 9.3344e+05 1.7255e+06 1.1250e+06 1.3583e+06 1.1375e+06 1.3337e+06 1.4142e+06 1.1127e+06 1.4354e+06 9.3344e+05 1.7255e+06 9.6515e+05
8.3500 1.1978e+06 8.7259e+05 1.6951e+06 9.0531e+05 1.6716e+06 1.0916e+06 1.3156e+06 1.1033e+06 1.2923e+06 1.3726e+06 1.0778e+06 1.3900e+06 9.0531e+05 1.6716e+06 9.3780e+05
8.4500 1.1612e+06 8.4679e+05 1.6419e+06 8.7808e+05 1.6194e+06 1.0592e+06 1.2742e+06 1.0701e+06 1.2523e+06 1.3320e+06 1.0439e+06 1.3461e+06 8.7808e+05 1.6194e+06 9.1117e+05
8.5500 1.1258e+06 8.2179e+05 1.5904e+06 8.5173e+05 1.5690e+06 1.0279e+06 1.2343e+06 1.0380e+06 1.2136e+06 1.2927e+06 1.0113e+06 1.3037e+06 8.5173e+05 1.5690e+06 8.8528e+05
8.6500 1.0916e+06 7.9757e+05 1.5407e+06 8.2622e+05 1.5202e+06 9.9747e+05 1.1957e+06 1.0069e+06 1.1762e+06 1.2546e+06 9.7971e+05 1.2626e+06 8.2622e+05 1.5202e+06 8.6013e+05
8.7500 1.0584e+06 7.7412e+05 1.4926e+06 8.0153e+05 1.4730e+06 9.6801e+05 1.1584e+06 9.7682e+05 1.1400e+06 1.2176e+06 9.4921e+05 1.2230e+06 8.0153e+05 1.4730e+06 8.3572e+05
8.8500 1.0264e+06 7.5139e+05 1.4461e+06 7.7763e+05 1.4273e+06 9.3946e+05 1.1223e+06 9.4767e+05 1.1051e+06 1.1817e+06 9.1974e+05 1.1847e+06 7.7763e+05 1.4273e+06 8.1202e+05
8.9500 9.9534e+05 7.2937e+05 1.4011e+06 7.5451e+05 1.3831e+06 9.1181e+05 1.0875e+06 9.1944e+05 1.0712e+06 1.1470e+06 8.9126e+05 1.1477e+06 7.5451e+05 1.3831e+06 7.8902e+05
9.0500 9.6532e+05 7.0806e+05 1.3576e+06 7.3213e+05 1.3404e+06 8.8502e+05 1.0538e+06 8.9212e+05 1.0385e+06 1.1133e+06 8.6375e+05 1.1120e+06 7.3213e+05 1.3404e+06 7.6671e+05
9.1500 9.3628e+05 6.8741e+05 1.3155e+06 7.1047e+05 1.2991e+06 8.5907e+05 1.0213e+06 8.6566e+05 1.0069e+06 1.0806e+06 8.3717e+05 1.0774e+06 7.1047e+05 1.2991e+06 7.4509e+05
9.2500 9.0818e+05 6.6741e+05 1.2749e+06 6.8952e+05 1.2591e+06 8.3393e+05 9.8991e+05 8.4004e+05 9.7632e+05 1.0490e+06 8.1149e+05 1.0440e+06 6.8952e+05 1.2591e+06 7.2414e+05
9.3500 8.8100e+05 6.4805e+05 1.2356e+06 6.6924e+05 1.2205e+06 8.0958e+05 9.5955e+05 8.1525e+05 9.4675e+05 1.0185e+06 7.8668e+05 1.0118e+06 6.6924e+05 1.2205e+06 7.0384e+05
9.4500 8.5471e+05 6.2929e+05 1.1976e+06 6.4961e+05 1.1832e+06 7.8600e+05 9.3021e+05 7.9125e+05 9.1817e+05 9.8893e+05 7.6270e+05 9.8059e+05 6.4961e+05 1.1832e+06 6.8419e+05
9.5500 8.2928e+05 6.1114e+05 1.1609e+06 6.3063e+05 1.1470e+06 7.6316e+05 9.0187e+05 7.6802e+05 8.9053e+05 9.6032e+05 7.3954e+05 9.5047e+05 6.3063e+05 1.1470e+06 6.6516e+05
9.6500 8.0467e+05 5.9355e+05 1.1255e+06 6.1225e+05 1.1121e+06 7.4105e+05 8.7448e+05 7.4553e+05 8.6381e+05 9.3261e+05 7.1716e+05 9.2137e+05 6.1225e+05 1.1121e+06 6.4670e+05
9.7500 7.8087e+05 5.7652e+05 1.0912e+06 5.9447e+05 1.0784e+06 7.1963e+05 8.4801e+05 7.2376e+05 8.3797e+05 9.0574e+05 6.9553e+05 8.9325e+05 5.9447e+05 1.0784e+06 6.2878e+05
9.8500 7.5784e+05 5.6003e+05 1.0580e+06 5.7725e+05 1.0457e+06 6.9888e+05 8.2242e+05 7.0268e+05 8.1299e+05 8.7970e+05 6.7462e+05 8.6607e+05 5.7725e+05 1.0457e+06 6.1139e+05
9.9500 7.3555e+05 5.4406e+05 1.0259e+06 5.6059e+05 1.0142e+06 6.7879e+05 7.9770e+05 6.8228e+05 7.8882e+05 8.5446e+05 6.5442e+05 8.3981e+05 5.6059e+05 1.0142e+06 5.9452e+05
10.0500 7.1399e+05 5.2859e+05 9.9494e+05 5.4447e+05 9.8364e+05 6.5933e+05 7.7380e+05 6.6253e+05 7.6546e+05 8.3000e+05 6.3489e+05 8.1443e+05 5.4447e+05 9.8364e+05 5.7815e+05
10.1500 6.9313e+05 5.1360e+05 9.6498e+05 5.2886e+05 9.5412e+05 6.4048e+05 7.5069e+05 6.4340e+05 7.4285e+05 8.0629e+05 6.1601e+05 7.8990e+05 5.2886e+05 9.5412e+05 5.6226e+05
10.2500 6.7294e+05 4.9909e+05 9.3601e+05 5.1375e+05 9.2558e+05 6.2222e+05 7.2835e+05 6.2489e+05 7.2100e+05 7.8331e+05 5.9777e+05 7.6619e+05 5.1375e+05 9.2558e+05 5.4685e+05
