# FONLL heavy quark hadroproduction cross section, calculated on Tue Apr  7 18:40:05 CEST 2020
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = meson (meson = D0). NP params (cm,lm,hm) = 0.1, 0.06, 0.135
# BR(q->meson) = 1
# ebeam1 = 2515, ebeam2 = 2515
# PDF set = CTEQ6.6
# ptmin = 0
# ptmax = 50
# ymin  = -0.5
# ymax  = 0.5
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
pt central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
2.0020 1.3778e+08 2.5862e+07 3.0148e+08 3.2329e+07 2.9414e+08 1.0682e+08 1.8139e+08 1.1664e+08 1.5892e+08 7.7746e+07 1.4886e+08 2.3360e+08 8.1678e+07 2.9414e+08 3.2329e+07
2.0521 1.3346e+08 2.6742e+07 2.8981e+08 3.2969e+07 2.8274e+08 1.0367e+08 1.7540e+08 1.1337e+08 1.5354e+08 7.8246e+07 1.4283e+08 2.2391e+08 7.9382e+07 2.8274e+08 3.2969e+07
2.1021 1.2916e+08 2.7518e+07 2.7839e+08 3.3511e+07 2.7158e+08 1.0054e+08 1.6946e+08 1.1009e+08 1.4822e+08 7.8593e+07 1.3698e+08 2.1449e+08 7.7086e+07 2.7158e+08 3.3511e+07
2.1522 1.2490e+08 2.8190e+07 2.6724e+08 3.3954e+07 2.6069e+08 9.7430e+07 1.6357e+08 1.0680e+08 1.4299e+08 7.8762e+07 1.3131e+08 2.0536e+08 7.4795e+07 2.6069e+08 3.3954e+07
2.2022 1.2069e+08 2.8755e+07 2.5638e+08 3.4298e+07 2.5008e+08 9.4349e+07 1.5777e+08 1.0352e+08 1.3785e+08 7.8737e+07 1.2584e+08 1.9654e+08 7.2518e+07 2.5008e+08 3.4298e+07
2.2523 1.1654e+08 2.9214e+07 2.4582e+08 3.4542e+07 2.3978e+08 9.1305e+07 1.5205e+08 1.0025e+08 1.3283e+08 7.8509e+07 1.2056e+08 1.8801e+08 7.0258e+07 2.3978e+08 3.4542e+07
2.3023 1.1247e+08 2.9565e+07 2.3559e+08 3.4683e+07 2.2980e+08 8.8307e+07 1.4645e+08 9.7015e+07 1.2792e+08 7.8060e+07 1.1547e+08 1.7980e+08 6.8025e+07 2.2980e+08 3.4683e+07
2.3524 1.0848e+08 2.9804e+07 2.2570e+08 3.4719e+07 2.2015e+08 8.5364e+07 1.4098e+08 9.3823e+07 1.2314e+08 7.7393e+07 1.1058e+08 1.7191e+08 6.5828e+07 2.2015e+08 3.4719e+07
2.4024 1.0459e+08 2.9937e+07 2.1615e+08 3.4654e+07 2.1083e+08 8.2480e+07 1.3565e+08 9.0683e+07 1.1849e+08 7.6526e+07 1.0588e+08 1.6432e+08 6.3671e+07 2.1083e+08 3.4654e+07
2.4525 1.0079e+08 2.9970e+07 2.0694e+08 3.4495e+07 2.0185e+08 7.9661e+07 1.3046e+08 8.7602e+07 1.1398e+08 7.5478e+07 1.0136e+08 1.5704e+08 6.1557e+07 2.0185e+08 3.4495e+07
2.5025 9.7099e+07 2.9908e+07 1.9808e+08 3.4246e+07 1.9321e+08 7.6909e+07 1.2543e+08 8.4586e+07 1.0961e+08 7.4266e+07 9.7035e+07 1.5006e+08 5.9489e+07 1.9321e+08 3.4246e+07
2.5526 9.3512e+07 2.9757e+07 1.8956e+08 3.3914e+07 1.8491e+08 7.4227e+07 1.2055e+08 8.1638e+07 1.0538e+08 7.2918e+07 9.2886e+07 1.4338e+08 5.7470e+07 1.8491e+08 3.3914e+07
2.6026 9.0032e+07 2.9526e+07 1.8138e+08 3.3508e+07 1.7693e+08 7.1618e+07 1.1583e+08 7.8765e+07 1.0130e+08 7.1465e+07 8.8912e+07 1.3699e+08 5.5503e+07 1.7693e+08 3.3508e+07
2.6527 8.6662e+07 2.9226e+07 1.7353e+08 3.3038e+07 1.6928e+08 6.9083e+07 1.1127e+08 7.5968e+07 9.7356e+07 6.9925e+07 8.5108e+07 1.3088e+08 5.3589e+07 1.6928e+08 3.3038e+07
