pt central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
5.819 1595192.289 973550.490 2326219.948 1025982.706 2274741.045 1415370.217 1801325.801 1421662.083 1768695.259 1577542.380 1570733.001 2011463.228 1188318.294 2274741.045 1025982.706
5.920 1543791.000 947451.009 2249932.589 997621.310 2201167.921 1371709.028 1740714.840 1377358.593 1710223.407 1531978.273 1517597.561 1944774.973 1150132.540 2201167.921 997621.310
6.020 1493690.863 921732.653 2175533.727 969726.708 2129363.930 1328998.018 1681777.121 1334068.380 1653313.347 1487225.482 1465951.427 1879762.655 1112930.879 2129363.930 969726.708
6.120 1444863.982 896430.187 2103101.688 942332.695 2059329.226 1287320.397 1624506.802 1291793.495 1597934.468 1443319.698 1415762.218 1816477.268 1076685.396 2059329.226 942332.695
6.221 1397354.804 871529.964 2032609.771 915450.000 1991147.354 1246647.242 1568912.491 1250584.719 1544124.890 1400340.944 1367044.165 1754925.209 1041449.238 1991147.354 915450.000
6.321 1351128.725 847071.734 1964059.717 889063.369 1924743.377 1206977.553 1514951.181 1210439.699 1491817.750 1358262.844 1319785.811 1695087.689 1007169.760 1924743.377 889063.369
6.421 1306208.242 823086.915 1897444.821 863255.910 1860191.528 1168363.246 1462640.834 1171331.014 1441085.469 1317116.089 1273953.294 1636958.131 973896.369 1860191.528 863255.910
6.522 1262584.515 799586.903 1832765.635 838010.691 1797468.463 1130749.834 1411938.583 1133307.974 1391886.895 1276925.606 1229561.245 1580569.146 941576.627 1797468.463 838010.691
6.622 1220249.828 776557.593 1769998.332 813311.797 1736527.127 1094162.134 1362855.113 1096316.602 1344183.054 1237690.762 1186599.085 1525876.551 910211.575 1736527.127 813311.797
6.722 1179172.630 754053.350 1709133.280 789187.175 1677385.541 1058622.876 1315328.931 1060379.567 1297965.692 1199412.768 1145006.258 1472871.038 879822.259 1677385.541 789187.175
6.823 1139370.652 732033.766 1650171.814 765645.756 1620047.384 1024104.270 1269370.710 1025519.512 1253196.519 1162115.607 1104773.047 1421509.192 850332.808 1620047.384 765645.756
6.923 1100761.538 710510.240 1593041.124 742646.516 1564467.183 990580.020 1224891.355 991658.755 1209889.409 1125722.971 1065890.794 1371800.047 821795.580 1564467.183 742646.516
7.023 1063413.835 689459.545 1537730.125 720190.738 1510634.875 958046.187 1181930.648 958818.202 1167984.564 1090284.951 1028324.491 1323732.442 794154.792 1510634.875 720190.738
7.124 1027245.943 668942.281 1484241.954 698312.649 1458505.797 926501.623 1140425.696 926996.074 1127495.811 1055775.745 992041.057 1277240.190 767387.405 1458505.797 698312.649
7.224 992252.953 648919.540 1432482.521 677021.388 1408062.138 895945.832 1100316.218 896166.720 1088339.186 1022244.620 957009.063 1232309.005 741520.653 1408062.138 677021.388
7.324 958402.763 629465.017 1382464.432 656340.449 1359268.230 866324.560 1061616.118 866300.194 1050505.332 989712.763 923218.607 1188902.843 716499.508 1359268.230 656340.449
7.425 925690.665 610539.282 1334144.082 636253.584 1312106.708 837637.930 1024266.186 837396.027 1013985.304 958154.064 890590.523 1147007.829 692302.536 1312106.708 636253.584
7.525 894064.686 592176.457 1287432.013 616793.437 1266513.584 809886.624 988209.623 809406.292 978699.063 927591.811 859144.600 1106539.241 668909.384 1266513.584 616793.437
7.625 863517.254 574350.806 1242364.168 597909.514 1222477.566 782993.209 953436.168 782349.398 944661.265 897996.901 828799.158 1067486.067 646314.552 1222477.566 597909.514
7.726 833991.866 557044.160 1198820.396 579606.235 1179927.913 757001.445 919907.683 756172.827 911810.904 869314.654 799568.719 1029829.738 624493.639 1179927.913 579606.235
7.826 805504.771 540207.930 1156836.207 561810.606 1138853.566 731858.218 887566.730 730870.935 880115.100 841493.559 771396.520 993488.010 603417.500 1138853.566 561810.606
7.926 777983.641 523829.559 1116303.360 544509.191 1099218.155 707542.184 856407.529 706421.843 849545.438 814464.753 744233.360 958451.945 583067.603 1099218.155 544509.191
8.027 751405.061 507873.990 1077210.143 527666.104 1060940.747 684009.900 826378.702 682781.584 820051.715 788208.196 718055.117 924667.175 563403.153 1060940.747 527666.104
8.127 725785.043 492294.807 1039498.712 511257.547 1024010.940 661279.510 797424.615 659944.754 791625.331 762697.948 692830.379 892100.234 544442.341 1024010.940 511257.547
8.227 701054.458 477127.454 1003135.392 495294.815 988395.835 639331.135 769541.980 637868.606 764217.458 737937.628 668536.025 860698.713 526145.050 988395.835 495294.815
8.328 677169.273 462384.006 968065.454 479743.829 954041.439 618100.488 742660.059 616557.393 737781.154 713885.867 645127.351 830434.957 508472.635 954041.439 479743.829
8.428 654145.789 448040.739 934255.758 464671.565 920915.042 597605.491 716770.536 595982.971 712308.607 690584.874 622574.263 801276.761 491443.137 920915.042 464671.565
8.528 631918.344 434131.953 901675.886 450043.485 888964.563 577805.706 691827.166 576104.895 687754.171 668015.815 600856.168 773175.155 474996.170 888964.563 450043.485
8.629 610490.185 420646.828 870274.661 435892.970 858139.977 558662.193 667785.452 556928.667 664073.928 646183.047 579931.227 746105.282 459117.778 858139.977 435892.970
8.729 589832.850 407583.483 839998.083 422173.144 828432.300 540192.687 644637.885 538404.846 641260.853 625082.001 559792.716 720014.123 443825.878 828432.300 422173.144
8.829 569905.839 394931.287 810841.106 408916.975 799814.772 522358.883 622363.131 520517.507 619294.171 604694.691 540399.983 694900.188 429062.504 799814.772 408916.975
8.930 550670.142 382680.152 782712.302 396069.712 772196.599 505145.638 600875.548 503251.505 598110.549 584982.249 521713.858 670697.204 414815.095 772196.599 396069.712
9.030 532142.221 370806.404 755646.711 383650.993 745613.227 488526.842 580212.120 486602.316 577682.126 565940.355 503728.434 647375.911 401079.845 745613.227 383650.993
9.130 514283.719 359343.534 729554.787 371650.260 719975.730 472488.100 560288.970 470533.628 558033.811 547552.689 486405.654 624936.871 387822.974 719975.730 371650.260
9.231 497036.325 348239.022 704413.900 360036.142 695262.066 456994.384 541088.860 455010.420 539083.563 529803.731 469708.821 603317.066 375033.203 695262.066 360036.142
9.331 480438.014 337533.504 680194.957 348848.896 671464.729 442041.962 522627.053 440050.114 520804.724 512689.003 453654.013 582509.638 362707.074 671464.729 348848.896
9.431 464410.323 327175.221 656876.241 338015.110 648541.102 427617.845 504844.163 425618.254 503223.441 496172.251 438205.154 562453.438 350833.542 648541.102 338015.110
9.532 448981.728 317155.808 634395.249 327568.070 626429.242 413688.762 487703.632 411681.579 486281.877 480239.420 423306.513 543152.060 339360.269 626429.242 327568.070
9.632 434085.000 307473.413 612745.247 317484.369 605143.567 400230.524 471200.306 398236.641 469933.359 464865.573 408974.533 524557.452 328305.339 605143.567 317484.369
9.732 419728.126 298099.197 591906.822 307693.337 584623.529 387273.113 455298.656 385251.122 454205.131 449996.089 395154.750 506673.725 317638.230 584623.529 307693.337
9.833 405878.174 289025.761 571799.990 298249.334 564831.069 374743.493 439984.894 372734.804 439042.040 435639.567 381855.892 489423.242 307349.925 564831.069 298249.334
9.933 392551.744 280251.564 552439.507 289088.967 545780.911 362659.330 425233.845 360643.425 424439.701 421751.827 369053.211 472821.429 297417.303 545780.911 289088.967
10.033 379675.976 271749.115 533787.846 280245.700 527435.638 350989.886 411012.191 348987.120 410344.602 408341.836 356714.966 456833.061 287831.937 527435.638 280245.700
10.134 367260.544 263511.903 515828.921 271692.007 509739.064 339745.649 397327.954 337735.795 396765.195 395398.494 344810.480 441424.141 278605.903 509739.064 271692.007
10.234 355282.045 255558.656 498517.100 263406.332 492686.257 328883.503 384136.730 326886.639 383697.420 382878.706 333376.447 426590.059 269696.453 492686.257 263406.332
10.334 343750.110 247842.917 481837.422 255382.167 476242.506 318394.423 371427.093 316410.410 371089.811 370792.209 322342.609 412297.763 261096.125 476242.506 255382.167
10.435 332615.217 240378.709 465755.925 247633.044 460413.738 308250.112 359168.449 306298.538 358931.895 359089.598 311699.864 398535.046 252797.815 460413.738 247633.044
10.535 321874.632 233164.707 450268.000 240137.710 445136.183 298487.648 347377.022 296548.526 347220.325 347807.938 301464.886 385278.039 244779.850 445136.183 240137.710
10.636 311517.246 226174.054 435357.320 232888.627 430433.300 289057.487 336001.108 287130.696 335923.257 336915.846 291607.078 372493.350 237053.608 430433.300 232888.627
10.736 301540.282 219405.753 420980.558 225865.120 416261.739 279938.147 325037.681 278042.883 325037.681 326372.101 282084.823 360177.412 229597.629 416261.739 225865.120
10.836 291896.591 212873.694 407106.286 219080.988 402590.143 271160.767 314477.307 269277.439 314534.959 316206.893 272928.789 348319.554 222405.639 402590.143 219080.988
10.937 282597.685 206534.259 393761.431 212511.625 389426.408 262660.397 304291.898 260807.986 304406.480 306354.376 264092.673 336890.509 215471.663 389426.408 212511.625
11.037 273641.101 200405.716 380884.728 206155.994 376709.609 254473.509 294459.763 252632.661 294649.541 296869.945 255593.200 325887.023 208755.955 376709.609 206155.994
11.137 265000.199 194483.101 368465.510 200009.046 364486.075 246555.235 285010.533 244744.686 285236.852 287688.637 247385.069 315261.784 202291.092 364486.075 200009.046
11.238 256649.168 188742.943 356512.366 194065.982 352670.032 238918.203 275879.581 237118.866 276160.728 278803.504 239480.495 305043.834 196052.750 352670.032 194065.982
11.338 248604.830 183184.467 344984.374 188325.703 341296.096 231541.888 267083.475 229772.260 267418.773 270250.178 231858.559 295192.623 190020.821 341296.096 188325.703
11.438 240823.236 177808.934 333871.944 182752.031 330335.871 224420.301 258596.169 222680.034 258984.952 261965.621 224494.355 285681.378 184197.933 330335.871 182752.031
11.539 233316.867 172604.801 323147.541 177366.820 319761.871 217547.738 250410.824 215818.102 250834.033 253962.098 217418.936 276539.369 178577.565 319761.871 177366.820
11.639 226083.864 167569.439 312826.768 172158.053 309553.105 210904.314 242525.330 209203.472 242982.545 246219.630 210575.119 267708.753 173151.125 309553.105 172158.053
11.739 219099.918 162697.095 302864.328 167117.995 299719.527 204484.774 234914.813 202812.394 235405.620 238750.380 203993.967 259200.675 167908.739 299719.527 167117.995
11.839 212359.513 157980.444 293234.283 162242.812 290234.906 198284.123 227573.221 196621.817 228097.208 231530.230 197615.587 250990.044 162844.495 290234.906 162242.812
11.940 205843.122 153416.975 283970.474 157526.294 281078.864 192301.047 220480.775 190666.659 221019.584 224557.766 191474.873 243074.846 157950.157 281078.864 157526.294
12.040 199563.517 149001.356 275011.310 152964.775 272226.204 186512.799 213631.870 184888.154 214203.174 217809.529 185548.724 235430.677 153220.077 272226.204 152964.775
12.140 193480.053 144726.700 266385.581 148549.449 263688.005 180915.031 207038.920 179317.782 207624.577 211298.249 179832.451 228051.613 148648.833 263688.005 148549.449
12.241 187609.402 140544.741 258037.908 144230.241 255462.116 175501.415 200647.144 173936.533 201264.628 205004.820 174308.788 220918.275 144230.241 255462.116 144277.876
12.341 181929.289 136414.520 249997.116 139959.098 247506.615 170269.538 194504.561 168731.391 195135.955 198906.783 168973.426 214060.250 139959.098 247506.615 140143.255
12.441 176452.946 132416.428 242221.771 135828.666 239833.031 165213.661 188553.573 163696.723 189198.707 193017.205 163822.263 207419.392 135828.666 239833.031 136142.515
12.542 171151.315 128553.300 234727.647 131836.471 232422.147 160324.131 182810.558 158831.623 183469.272 187317.551 158847.225 201011.875 131836.471 232422.147 132269.835
12.642 166032.521 124815.218 227491.388 127975.970 225268.176 155597.216 177270.941 154128.862 177925.840 181820.768 154044.415 194832.586 127975.970 225268.176 128520.570
12.742 161084.047 121199.425 220490.322 124242.561 218348.475 151024.219 171896.092 149579.757 172581.483 176488.212 149401.555 188859.522 124242.561 218348.475 124890.256
12.843 156303.252 117701.906 213740.174 120632.187 211678.755 146604.361 166729.602 145183.516 167422.988 171336.277 144919.450 183108.512 120632.187 211678.755 121376.683
12.943 151681.357 114316.627 207218.579 117140.410 205236.680 142329.164 161729.756 140931.671 162431.043 166360.963 140589.497 177540.908 117140.410 205236.680 117975.518
13.043 147213.247 111042.813 200920.657 113762.964 199017.394 138192.113 156899.681 136819.405 157607.089 161541.623 136405.066 172152.740 113762.964 199017.394 114679.225
13.144 142893.071 107874.890 194845.052 110495.936 193002.783 134192.537 152233.374 132840.982 152946.834 156879.241 132361.992 166968.175 110495.936 193002.783 111487.411
13.244 138717.577 104808.836 188970.328 107336.879 187188.375 130324.077 147722.271 128995.106 148441.714 152368.673 128455.524 161952.917 107336.879 187188.375 108397.724
13.345 134680.361 101842.438 183292.211 104278.496 181569.913 126578.938 143364.715 125273.966 144085.099 148003.326 124679.442 157106.663 104278.496 181569.913 105401.301
13.445 130775.764 98970.295 177809.587 101320.339 176146.276 122958.203 139151.605 121673.666 139876.216 143779.233 121029.750 152426.803 101320.339 176146.276 102501.125
13.545 126998.554 96191.423 172517.315 98456.388 170912.350 119453.583 135079.059 118190.901 135806.206 139690.876 117501.422 147904.036 98456.388 170912.350 99689.590
13.646 123346.475 93500.514 167397.973 95686.232 165850.706 116062.920 131143.070 114821.849 131871.100 135734.381 114092.191 143535.862 95686.232 165850.706 96966.391
13.746 119815.196 90897.247 162447.830 93006.202 160956.012 112782.107 127337.459 111562.412 128066.360 131903.621 110796.256 139312.499 93006.202 160956.012 94327.943
13.846 116397.331 88374.916 157663.337 90411.152 156224.762 109607.191 123659.478 108407.036 124386.015 128195.903 107608.007 135232.518 90411.152 156224.762 91769.180
13.947 113090.757 85933.209 153041.992 87899.127 151654.474 106532.890 120100.448 105353.660 120827.854 124604.275 104526.917 131288.717 87899.127 151654.474 89289.850
14.047 109893.073 83568.774 148577.156 85466.724 147235.364 103558.604 116660.995 102400.074 117387.666 121129.385 101545.916 127476.602 85466.724 147235.364 86886.601
14.147 106798.825 81279.961 144257.665 83112.247 142962.702 100679.053 113332.289 99539.422 114058.229 117762.427 98662.904 123790.268 83112.247 142962.702 84556.203
14.248 103804.391 79063.310 140084.375 80832.219 138832.580 97890.685 110115.393 96771.322 110837.461 114501.405 95875.831 120227.501 80832.219 138832.580 82296.851
14.348 100906.064 76915.685 136049.508 78625.027 134838.855 95191.530 107001.672 94090.651 107723.045 111344.028 93177.956 116784.126 78625.027 134838.855 80106.979
14.448 98101.832 74834.060 132147.094 76486.015 130977.154 92578.154 103990.531 91495.569 104706.535 108284.992 90568.977 113453.008 76486.015 130977.154 77981.979
14.549 95385.071 72818.208 128370.275 74414.942 127239.061 90045.555 101073.727 88982.618 101787.524 105320.822 88042.267 110228.956 74414.942 127239.061 75921.675
14.649 92753.906 70863.626 124717.945 72407.261 123623.508 87591.993 98250.789 86546.952 98962.404 102447.931 85597.617 107109.707 72407.261 123623.508 73923.110
14.749 90205.019 68967.482 121179.883 70460.098 120121.845 85214.275 95518.243 84185.414 96224.625 99662.864 83228.726 104091.574 70460.098 120121.845 71983.427
14.850 87736.563 67131.128 117758.658 68573.264 116733.581 82909.074 92871.117 81899.273 93572.326 96965.317 80935.303 101169.511 68573.264 116733.581 70102.478
14.950 85343.796 65348.729 114445.767 66743.946 113454.829 80674.835 90307.606 79682.377 91005.215 94348.871 78712.717 98339.981 66743.946 113454.829 68275.949
15.050 83025.145 63620.656 111237.484 64970.941 110278.827 78510.082 87824.478 77533.280 88517.010 91811.826 76561.014 95601.092 64970.941 110278.827 66504.187
15.150 80778.835 61945.233 108131.862 63251.054 107203.646 76410.053 85419.913 75450.245 86105.920 89353.923 74476.897 92949.442 63251.054 107203.646 64785.543
15.251 78601.848 60319.842 105125.276 61583.148 104227.191 74374.864 83089.277 73431.875 83770.324 86969.002 72457.454 90380.226 61583.148 104227.191 63115.879
15.351 76491.271 58743.438 102212.747 59966.142 101343.004 72400.200 80831.053 71473.863 81507.190 84657.032 70499.869 87893.253 59966.142 101343.004 61495.640
15.451 74445.399 57214.397 99392.418 58396.917 98550.724 70485.885 78643.493 69576.026 79314.773 82414.812 68602.448 85483.733 58396.917 98550.724 59923.227
15.552 72461.404 55730.241 96660.915 56875.928 95845.516 68629.176 76523.655 67735.629 77188.655 80239.397 66763.932 83150.062 56875.928 95845.516 58397.614
15.652 70538.020 54290.037 94014.991 55399.255 93224.160 66828.891 74470.167 65950.026 75127.481 78129.411 64983.129 80889.250 55399.255 93224.160 56914.892
15.752 68673.590 52892.213 91451.391 53966.789 90684.880 65081.936 72478.407 64217.603 73129.577 76083.201 63255.449 78698.100 53966.789 90684.880 55474.992
15.853 66865.439 51535.874 88966.978 52577.604 88224.545 63388.645 70547.091 62538.698 71192.180 74097.983 61581.235 76576.633 52577.604 88224.545 54078.451
15.953 65112.426 50220.167 86560.170 51227.925 85840.137 61743.595 68675.001 60909.339 69314.067 72171.067 59957.969 74519.128 51227.925 85840.137 52720.042
16.053 63411.503 48942.111 84227.800 49919.112 83529.942 60148.120 66860.501 59327.957 67493.609 70300.867 58382.612 72525.377 49919.112 83529.942 51402.599
16.154 61761.590 47702.344 81966.924 48648.887 81289.594 58601.195 65100.983 57794.987 65726.761 68487.632 56857.035 70592.652 48648.887 81289.594 50122.401
16.254 60160.238 46498.663 79774.701 47415.041 79117.703 57098.996 63395.349 56306.608 64013.868 66725.945 55375.979 68718.317 47415.041 79117.703 48877.254
