# FONLL heavy quark hadroproduction cross section, calculated on Fri Mar 12 22:41:27 CET 2021
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = meson (meson = D0). NP params (cm,lm,hm) = 0.1, 0.06, 0.135
# BR(q->meson) = 1
# ebeam1 = 2515, ebeam2 = 2515
# PDF set = CTEQ6.6
# ptmin = 0.05
# ptmax = 49.95
# ymin  = -0.5
# ymax  = 0.5
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
pt central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
3.4500 4.6624e+07 2.1472e+07 8.5893e+07 2.3388e+07 8.3853e+07 3.8284e+07 5.8155e+07 4.1815e+07 5.1434e+07 4.4789e+07 4.2998e+07 6.4032e+07 3.0131e+07 8.3853e+07 2.3388e+07
3.5500 4.3144e+07 2.0427e+07 7.8776e+07 2.2189e+07 7.6912e+07 3.5539e+07 5.3644e+07 3.8771e+07 4.7518e+07 4.2060e+07 3.9590e+07 5.8722e+07 2.8020e+07 7.6912e+07 2.2189e+07
3.6500 3.9936e+07 1.9406e+07 7.2294e+07 2.1029e+07 7.0590e+07 3.2999e+07 4.9503e+07 3.5954e+07 4.3919e+07 3.9473e+07 3.6482e+07 5.3901e+07 2.6062e+07 7.0590e+07 2.1029e+07
3.7500 3.6981e+07 1.8417e+07 6.6389e+07 1.9912e+07 6.4830e+07 3.0650e+07 4.5701e+07 3.3350e+07 4.0612e+07 3.7026e+07 3.3648e+07 4.9521e+07 2.4247e+07 6.4830e+07 1.9912e+07
3.8500 3.4259e+07 1.7463e+07 6.1007e+07 1.8841e+07 5.9582e+07 2.8479e+07 4.2210e+07 3.0945e+07 3.7573e+07 3.4715e+07 3.1058e+07 4.5536e+07 2.2566e+07 5.9582e+07 1.8841e+07
3.9500 3.1753e+07 1.6546e+07 5.6101e+07 1.7817e+07 5.4798e+07 2.6474e+07 3.9006e+07 2.8724e+07 3.4782e+07 3.2538e+07 2.8692e+07 4.1908e+07 2.1009e+07 5.4798e+07 1.7817e+07
4.0500 2.9446e+07 1.5666e+07 5.1628e+07 1.6839e+07 5.0435e+07 2.4622e+07 3.6065e+07 2.6674e+07 3.2217e+07 3.0491e+07 2.6528e+07 3.8605e+07 1.9568e+07 5.0435e+07 1.6839e+07
4.1500 2.7321e+07 1.4826e+07 4.7547e+07 1.5909e+07 4.6455e+07 2.2911e+07 3.3365e+07 2.4782e+07 2.9859e+07 2.8569e+07 2.4549e+07 3.5594e+07 1.8235e+07 4.6455e+07 1.5909e+07
4.2500 2.5364e+07 1.4024e+07 4.3823e+07 1.5024e+07 4.2823e+07 2.1331e+07 3.0886e+07 2.3036e+07 2.7693e+07 2.6766e+07 2.2737e+07 3.2848e+07 1.7000e+07 4.2823e+07 1.5024e+07
4.3500 2.3563e+07 1.3259e+07 4.0424e+07 1.4184e+07 3.9508e+07 1.9872e+07 2.8609e+07 2.1424e+07 2.5702e+07 2.5078e+07 2.1077e+07 3.0343e+07 1.5857e+07 3.9508e+07 1.4184e+07
4.4500 2.1904e+07 1.2532e+07 3.7319e+07 1.3387e+07 3.6480e+07 1.8523e+07 2.6519e+07 1.9937e+07 2.3870e+07 2.3498e+07 1.9557e+07 2.8056e+07 1.4799e+07 3.6480e+07 1.3387e+07
4.5500 2.0375e+07 1.1844e+07 3.4484e+07 1.2635e+07 3.3714e+07 1.7278e+07 2.4599e+07 1.8564e+07 2.2187e+07 2.2022e+07 1.8162e+07 2.5966e+07 1.3820e+07 3.3714e+07 1.2635e+07
4.6500 1.8967e+07 1.1194e+07 3.1893e+07 1.1927e+07 3.1187e+07 1.6126e+07 2.2836e+07 1.7297e+07 2.0637e+07 2.0644e+07 1.6879e+07 2.4052e+07 1.2914e+07 3.1187e+07 1.1927e+07
4.7500 1.7669e+07 1.0580e+07 2.9523e+07 1.1260e+07 2.8875e+07 1.5061e+07 2.1216e+07 1.6128e+07 1.9211e+07 1.9359e+07 1.5700e+07 2.2299e+07 1.2075e+07 2.8875e+07 1.1260e+07
4.8500 1.6472e+07 1.0001e+07 2.7354e+07 1.0632e+07 2.6758e+07 1.4076e+07 1.9725e+07 1.5047e+07 1.7896e+07 1.8159e+07 1.4614e+07 2.0691e+07 1.1298e+07 2.6758e+07 1.0632e+07
4.9500 1.5366e+07 9.4542e+06 2.5365e+07 1.0041e+07 2.4817e+07 1.3163e+07 1.8353e+07 1.4048e+07 1.6684e+07 1.7040e+07 1.3614e+07 1.9215e+07 1.0578e+07 2.4817e+07 1.0041e+07
5.0500 1.4345e+07 8.9387e+06 2.3541e+07 9.4841e+06 2.3036e+07 1.2318e+07 1.7090e+07 1.3124e+07 1.5566e+07 1.5994e+07 1.2693e+07 1.7859e+07 9.9091e+06 2.3036e+07 9.4841e+06
5.1500 1.3401e+07 8.4524e+06 2.1866e+07 8.9601e+06 2.1401e+07 1.1534e+07 1.5925e+07 1.2269e+07 1.4533e+07 1.5019e+07 1.1843e+07 1.6612e+07 9.2887e+06 2.1401e+07 8.9601e+06
5.2500 1.2528e+07 7.9936e+06 2.0327e+07 8.4665e+06 1.9898e+07 1.0807e+07 1.4850e+07 1.1477e+07 1.3578e+07 1.4108e+07 1.1058e+07 1.5466e+07 8.7126e+06 1.9898e+07 8.4665e+06
5.3500 1.1719e+07 7.5609e+06 1.8911e+07 8.0017e+06 1.8515e+07 1.0132e+07 1.3858e+07 1.0742e+07 1.2696e+07 1.3258e+07 1.0333e+07 1.4409e+07 8.1771e+06 1.8515e+07 8.0017e+06
5.4500 1.0970e+07 7.1527e+06 1.7607e+07 7.5638e+06 1.7242e+07 9.5058e+06 1.2942e+07 1.0062e+07 1.1879e+07 1.2463e+07 9.6632e+06 1.3436e+07 7.6793e+06 1.7242e+07 7.5638e+06
5.5500 1.0276e+07 6.7680e+06 1.6407e+07 7.1519e+06 1.6070e+07 8.9235e+06 1.2096e+07 9.4301e+06 1.1122e+07 1.1721e+07 9.0433e+06 1.2538e+07 7.2160e+06 1.6070e+07 7.1519e+06
