# FONLL heavy quark hadroproduction cross section, calculated on Tue Dec 28 18:00:00 CET 2021
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = meson. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# ptmin = 0.
# ptmax = 150.
# ymin  = -0.5
# ymax  = 0.5
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
pt central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=dot5dot5 fr=22 fr=21 fr=12 fr=1dot5 fr=dot51
74.4748 5.7424e+02 5.0476e+02 6.4655e+02 5.1116e+02 6.4043e+02 5.6890e+02 5.7950e+02 5.4560e+02 6.0289e+02 6.2190e+02 5.3151e+02 5.9436e+02 5.1116e+02 6.4043e+02 5.5079e+02
74.5248 5.7233e+02 5.0308e+02 6.4436e+02 5.0947e+02 6.3826e+02 5.6700e+02 5.7755e+02 5.4377e+02 6.0087e+02 6.1981e+02 5.2973e+02 5.9236e+02 5.0947e+02 6.3826e+02 5.4896e+02
74.5749 5.7041e+02 5.0142e+02 6.4219e+02 5.0778e+02 6.3610e+02 5.6511e+02 5.7562e+02 5.4196e+02 5.9886e+02 6.1773e+02 5.2796e+02 5.9037e+02 5.0778e+02 6.3610e+02 5.4714e+02
74.6249 5.6851e+02 4.9976e+02 6.4002e+02 5.0610e+02 6.3395e+02 5.6323e+02 5.7370e+02 5.4015e+02 5.9686e+02 6.1565e+02 5.2620e+02 5.8838e+02 5.0610e+02 6.3395e+02 5.4534e+02
74.6749 5.6661e+02 4.9810e+02 6.3786e+02 5.0442e+02 6.3181e+02 5.6135e+02 5.7178e+02 5.3836e+02 5.9487e+02 6.1359e+02 5.2444e+02 5.8640e+02 5.0442e+02 6.3181e+02 5.4353e+02
74.7249 5.6472e+02 4.9645e+02 6.3570e+02 5.0275e+02 6.2967e+02 5.5949e+02 5.6987e+02 5.3656e+02 5.9288e+02 6.1153e+02 5.2270e+02 5.8443e+02 5.0275e+02 6.2967e+02 5.4174e+02
74.7749 5.6284e+02 4.9481e+02 6.3356e+02 5.0109e+02 6.2755e+02 5.5762e+02 5.6797e+02 5.3478e+02 5.9090e+02 6.0948e+02 5.2095e+02 5.8247e+02 5.0109e+02 6.2755e+02 5.3995e+02
74.8249 5.6097e+02 4.9318e+02 6.3142e+02 4.9944e+02 6.2543e+02 5.5577e+02 5.6607e+02 5.3300e+02 5.8893e+02 6.0744e+02 5.1922e+02 5.8052e+02 4.9944e+02 6.2543e+02 5.3816e+02
74.8750 5.5910e+02 4.9155e+02 6.2930e+02 4.9779e+02 6.2333e+02 5.5392e+02 5.6419e+02 5.3123e+02 5.8697e+02 6.0540e+02 5.1749e+02 5.7857e+02 4.9779e+02 6.2333e+02 5.3639e+02
74.9250 5.5724e+02 4.8993e+02 6.2718e+02 4.9614e+02 6.2123e+02 5.5208e+02 5.6231e+02 5.2946e+02 5.8501e+02 6.0338e+02 5.1577e+02 5.7663e+02 4.9614e+02 6.2123e+02 5.3462e+02
74.9750 5.5539e+02 4.8831e+02 6.2507e+02 4.9451e+02 6.1913e+02 5.5025e+02 5.6043e+02 5.2771e+02 5.8307e+02 6.0136e+02 5.1406e+02 5.7470e+02 4.9451e+02 6.1913e+02 5.3286e+02
75.0250 5.5354e+02 4.8670e+02 6.2297e+02 4.9288e+02 6.1705e+02 5.4843e+02 5.5857e+02 5.2595e+02 5.8113e+02 5.9935e+02 5.1235e+02 5.7277e+02 4.9288e+02 6.1705e+02 5.3110e+02
75.0750 5.5170e+02 4.8510e+02 6.2087e+02 4.9125e+02 6.1498e+02 5.4661e+02 5.5671e+02 5.2421e+02 5.7919e+02 5.9735e+02 5.1065e+02 5.7086e+02 4.9125e+02 6.1498e+02 5.2936e+02
75.1250 5.4987e+02 4.8350e+02 6.1879e+02 4.8963e+02 6.1291e+02 5.4480e+02 5.5486e+02 5.2247e+02 5.7727e+02 5.9535e+02 5.0895e+02 5.6895e+02 4.8963e+02 6.1291e+02 5.2761e+02
75.1751 5.4805e+02 4.8191e+02 6.1671e+02 4.8802e+02 6.1085e+02 5.4299e+02 5.5302e+02 5.2074e+02 5.7535e+02 5.9337e+02 5.0726e+02 5.6705e+02 4.8802e+02 6.1085e+02 5.2588e+02
75.2251 5.4623e+02 4.8033e+02 6.1464e+02 4.8642e+02 6.0880e+02 5.4120e+02 5.5118e+02 5.1902e+02 5.7344e+02 5.9139e+02 5.0558e+02 5.6515e+02 4.8642e+02 6.0880e+02 5.2415e+02
75.2751 5.4442e+02 4.7875e+02 6.1258e+02 4.8482e+02 6.0676e+02 5.3941e+02 5.4935e+02 5.1730e+02 5.7154e+02 5.8942e+02 5.0391e+02 5.6327e+02 4.8482e+02 6.0676e+02 5.2243e+02
75.3251 5.4262e+02 4.7717e+02 6.1053e+02 4.8323e+02 6.0473e+02 5.3762e+02 5.4753e+02 5.1559e+02 5.6964e+02 5.8746e+02 5.0224e+02 5.6139e+02 4.8323e+02 6.0473e+02 5.2072e+02
75.3751 5.4083e+02 4.7561e+02 6.0848e+02 4.8164e+02 6.0270e+02 5.3585e+02 5.4572e+02 5.1389e+02 5.6776e+02 5.8550e+02 5.0058e+02 5.5952e+02 4.8164e+02 6.0270e+02 5.1901e+02
75.4251 5.3904e+02 4.7405e+02 6.0645e+02 4.8006e+02 6.0068e+02 5.3408e+02 5.4391e+02 5.1219e+02 5.6588e+02 5.8356e+02 4.9893e+02 5.5765e+02 4.8006e+02 6.0068e+02 5.1731e+02
75.4752 5.3725e+02 4.7249e+02 6.0442e+02 4.7848e+02 5.9867e+02 5.3232e+02 5.4211e+02 5.1050e+02 5.6400e+02 5.8162e+02 4.9728e+02 5.5580e+02 4.7848e+02 5.9867e+02 5.1561e+02
75.5252 5.3548e+02 4.7094e+02 6.0240e+02 4.7691e+02 5.9667e+02 5.3056e+02 5.4032e+02 5.0882e+02 5.6214e+02 5.7968e+02 4.9563e+02 5.5395e+02 4.7691e+02 5.9667e+02 5.1392e+02
75.5752 5.3371e+02 4.6940e+02 6.0039e+02 4.7535e+02 5.9467e+02 5.2881e+02 5.3853e+02 5.0714e+02 5.6028e+02 5.7776e+02 4.9400e+02 5.5210e+02 4.7535e+02 5.9467e+02 5.1224e+02
75.6252 5.3195e+02 4.6786e+02 5.9838e+02 4.7380e+02 5.9269e+02 5.2707e+02 5.3675e+02 5.0547e+02 5.5843e+02 5.7584e+02 4.9237e+02 5.5027e+02 4.7380e+02 5.9269e+02 5.1057e+02
75.6752 5.3020e+02 4.6633e+02 5.9638e+02 4.7224e+02 5.9071e+02 5.2534e+02 5.3498e+02 5.0381e+02 5.5659e+02 5.7393e+02 4.9075e+02 5.4844e+02 4.7224e+02 5.9071e+02 5.0890e+02
75.7252 5.2845e+02 4.6481e+02 5.9440e+02 4.7070e+02 5.8874e+02 5.2361e+02 5.3321e+02 5.0215e+02 5.5475e+02 5.7203e+02 4.8913e+02 5.4662e+02 4.7070e+02 5.8874e+02 5.0723e+02
75.7753 5.2671e+02 4.6329e+02 5.9241e+02 4.6916e+02 5.8677e+02 5.2189e+02 5.3145e+02 5.0050e+02 5.5292e+02 5.7014e+02 4.8752e+02 5.4481e+02 4.6916e+02 5.8677e+02 5.0558e+02
75.8253 5.2498e+02 4.6178e+02 5.9044e+02 4.6763e+02 5.8482e+02 5.2017e+02 5.2970e+02 4.9885e+02 5.5110e+02 5.6825e+02 4.8591e+02 5.4300e+02 4.6763e+02 5.8482e+02 5.0393e+02
75.8753 5.2325e+02 4.6027e+02 5.8848e+02 4.6610e+02 5.8287e+02 5.1846e+02 5.2795e+02 4.9721e+02 5.4928e+02 5.6637e+02 4.8431e+02 5.4120e+02 4.6610e+02 5.8287e+02 5.0229e+02
75.9253 5.2153e+02 4.5877e+02 5.8652e+02 4.6458e+02 5.8093e+02 5.1676e+02 5.2621e+02 4.9558e+02 5.4747e+02 5.6450e+02 4.8272e+02 5.3941e+02 4.6458e+02 5.8093e+02 5.0065e+02
75.9753 5.1981e+02 4.5727e+02 5.8457e+02 4.6306e+02 5.7900e+02 5.1507e+02 5.2448e+02 4.9396e+02 5.4567e+02 5.6263e+02 4.8114e+02 5.3762e+02 4.6306e+02 5.7900e+02 4.9902e+02
76.0253 5.1811e+02 4.5578e+02 5.8262e+02 4.6156e+02 5.7707e+02 5.1338e+02 5.2276e+02 4.9234e+02 5.4388e+02 5.6077e+02 4.7956e+02 5.3584e+02 4.6156e+02 5.7707e+02 4.9739e+02
76.0754 5.1641e+02 4.5430e+02 5.8069e+02 4.6005e+02 5.7515e+02 5.1169e+02 5.2104e+02 4.9072e+02 5.4209e+02 5.5892e+02 4.7798e+02 5.3407e+02 4.6005e+02 5.7515e+02 4.9577e+02
76.1254 5.1471e+02 4.5282e+02 5.7876e+02 4.5855e+02 5.7324e+02 5.1002e+02 5.1933e+02 4.8912e+02 5.4031e+02 5.5708e+02 4.7641e+02 5.3230e+02 4.5855e+02 5.7324e+02 4.9416e+02
76.1754 5.1302e+02 4.5134e+02 5.7684e+02 4.5706e+02 5.7134e+02 5.0835e+02 5.1762e+02 4.8751e+02 5.3853e+02 5.5524e+02 4.7485e+02 5.3055e+02 4.5706e+02 5.7134e+02 4.9255e+02
76.2254 5.1134e+02 4.4988e+02 5.7493e+02 4.5557e+02 5.6945e+02 5.0669e+02 5.1592e+02 4.8592e+02 5.3676e+02 5.5341e+02 4.7330e+02 5.2879e+02 4.5557e+02 5.6945e+02 4.9095e+02
76.2754 5.0967e+02 4.4841e+02 5.7302e+02 4.5409e+02 5.6756e+02 5.0503e+02 5.1423e+02 4.8433e+02 5.3500e+02 5.5159e+02 4.7175e+02 5.2705e+02 4.5409e+02 5.6756e+02 4.8936e+02
76.3254 5.0800e+02 4.4696e+02 5.7113e+02 4.5262e+02 5.6568e+02 5.0338e+02 5.1254e+02 4.8275e+02 5.3325e+02 5.4977e+02 4.7020e+02 5.2531e+02 4.5262e+02 5.6568e+02 4.8777e+02
76.3755 5.0634e+02 4.4551e+02 5.6924e+02 4.5115e+02 5.6380e+02 5.0173e+02 5.1086e+02 4.8117e+02 5.3150e+02 5.4797e+02 4.6866e+02 5.2358e+02 4.5115e+02 5.6380e+02 4.8619e+02
76.4255 5.0468e+02 4.4406e+02 5.6735e+02 4.4968e+02 5.6194e+02 5.0010e+02 5.0919e+02 4.7960e+02 5.2976e+02 5.4616e+02 4.6713e+02 5.2186e+02 4.4968e+02 5.6194e+02 4.8461e+02
76.4755 5.0303e+02 4.4262e+02 5.6548e+02 4.4823e+02 5.6008e+02 4.9846e+02 5.0752e+02 4.7803e+02 5.2803e+02 5.4437e+02 4.6561e+02 5.2014e+02 4.4823e+02 5.6008e+02 4.8304e+02
76.5255 5.0139e+02 4.4119e+02 5.6361e+02 4.4677e+02 5.5823e+02 4.9684e+02 5.0586e+02 4.7647e+02 5.2630e+02 5.4258e+02 4.6408e+02 5.1843e+02 4.4677e+02 5.5823e+02 4.8148e+02
76.5755 4.9975e+02 4.3976e+02 5.6175e+02 4.4532e+02 5.5638e+02 4.9522e+02 5.0421e+02 4.7492e+02 5.2458e+02 5.4080e+02 4.6257e+02 5.1672e+02 4.4532e+02 5.5638e+02 4.7992e+02
76.6255 4.9812e+02 4.3833e+02 5.5989e+02 4.4388e+02 5.5454e+02 4.9361e+02 5.0256e+02 4.7337e+02 5.2287e+02 5.3903e+02 4.6106e+02 5.1502e+02 4.4388e+02 5.5454e+02 4.7837e+02
76.6756 4.9650e+02 4.3691e+02 5.5805e+02 4.4245e+02 5.5271e+02 4.9200e+02 5.0092e+02 4.7183e+02 5.2116e+02 5.3726e+02 4.5956e+02 5.1333e+02 4.4245e+02 5.5271e+02 4.7682e+02
76.7256 4.9488e+02 4.3550e+02 5.5621e+02 4.4101e+02 5.5089e+02 4.9040e+02 4.9929e+02 4.7030e+02 5.1946e+02 5.3550e+02 4.5806e+02 5.1165e+02 4.4101e+02 5.5089e+02 4.7528e+02
76.7756 4.9327e+02 4.3409e+02 5.5437e+02 4.3959e+02 5.4908e+02 4.8880e+02 4.9766e+02 4.6877e+02 5.1776e+02 5.3374e+02 4.5657e+02 5.0997e+02 4.3959e+02 5.4908e+02 4.7375e+02
76.8256 4.9166e+02 4.3269e+02 5.5255e+02 4.3817e+02 5.4727e+02 4.8721e+02 4.9603e+02 4.6724e+02 5.1608e+02 5.3200e+02 4.5508e+02 5.0830e+02 4.3817e+02 5.4727e+02 4.7222e+02
76.8756 4.9006e+02 4.3129e+02 5.5073e+02 4.3675e+02 5.4546e+02 4.8563e+02 4.9442e+02 4.6573e+02 5.1439e+02 5.3026e+02 4.5360e+02 5.0663e+02 4.3675e+02 5.4546e+02 4.7070e+02
76.9256 4.8847e+02 4.2990e+02 5.4892e+02 4.3535e+02 5.4367e+02 4.8405e+02 4.9281e+02 4.6421e+02 5.1272e+02 5.2852e+02 4.5212e+02 5.0497e+02 4.3535e+02 5.4367e+02 4.6918e+02
76.9757 4.8688e+02 4.2852e+02 5.4711e+02 4.3394e+02 5.4188e+02 4.8248e+02 4.9120e+02 4.6271e+02 5.1105e+02 5.2680e+02 4.5066e+02 5.0332e+02 4.3394e+02 5.4188e+02 4.6767e+02
77.0257 4.8530e+02 4.2714e+02 5.4532e+02 4.3254e+02 5.4010e+02 4.8092e+02 4.8960e+02 4.6121e+02 5.0939e+02 5.2508e+02 4.4919e+02 5.0167e+02 4.3254e+02 5.4010e+02 4.6616e+02
77.0757 4.8372e+02 4.2576e+02 5.4352e+02 4.3115e+02 5.3833e+02 4.7936e+02 4.8801e+02 4.5971e+02 5.0773e+02 5.2336e+02 4.4773e+02 5.0003e+02 4.3115e+02 5.3833e+02 4.6466e+02
77.1257 4.8215e+02 4.2439e+02 5.4174e+02 4.2976e+02 5.3656e+02 4.7781e+02 4.8643e+02 4.5822e+02 5.0608e+02 5.2165e+02 4.4628e+02 4.9839e+02 4.2976e+02 5.3656e+02 4.6317e+02
77.1757 4.8059e+02 4.2302e+02 5.3996e+02 4.2838e+02 5.3480e+02 4.7626e+02 4.8485e+02 4.5674e+02 5.0444e+02 5.1995e+02 4.4483e+02 4.9677e+02 4.2838e+02 5.3480e+02 4.6168e+02
77.2257 4.7903e+02 4.2166e+02 5.3819e+02 4.2700e+02 5.3304e+02 4.7472e+02 4.8327e+02 4.5526e+02 5.0280e+02 5.1826e+02 4.4339e+02 4.9515e+02 4.2700e+02 5.3304e+02 4.6019e+02
77.2758 4.7748e+02 4.2031e+02 5.3643e+02 4.2563e+02 5.3129e+02 4.7318e+02 4.8170e+02 4.5379e+02 5.0117e+02 5.1657e+02 4.4196e+02 4.9353e+02 4.2563e+02 5.3129e+02 4.5872e+02
77.3258 4.7593e+02 4.1896e+02 5.3467e+02 4.2426e+02 5.2955e+02 4.7165e+02 4.8014e+02 4.5232e+02 4.9955e+02 5.1489e+02 4.4052e+02 4.9192e+02 4.2426e+02 5.2955e+02 4.5725e+02
77.3758 4.7439e+02 4.1761e+02 5.3292e+02 4.2290e+02 5.2782e+02 4.7013e+02 4.7859e+02 4.5086e+02 4.9793e+02 5.1322e+02 4.3910e+02 4.9032e+02 4.2290e+02 5.2782e+02 4.5578e+02
77.4258 4.7286e+02 4.1627e+02 5.3118e+02 4.2154e+02 5.2609e+02 4.6861e+02 4.7704e+02 4.4940e+02 4.9631e+02 5.1155e+02 4.3768e+02 4.8872e+02 4.2154e+02 5.2609e+02 4.5432e+02
77.4758 4.7133e+02 4.1494e+02 5.2944e+02 4.2019e+02 5.2437e+02 4.6710e+02 4.7549e+02 4.4795e+02 4.9471e+02 5.0988e+02 4.3626e+02 4.8713e+02 4.2019e+02 5.2437e+02 4.5286e+02
77.5258 4.6981e+02 4.1361e+02 5.2772e+02 4.1884e+02 5.2266e+02 4.6559e+02 4.7395e+02 4.4651e+02 4.9311e+02 5.0823e+02 4.3486e+02 4.8555e+02 4.1884e+02 5.2266e+02 4.5141e+02
77.5759 4.6829e+02 4.1228e+02 5.2599e+02 4.1750e+02 5.2095e+02 4.6409e+02 4.7242e+02 4.4507e+02 4.9151e+02 5.0658e+02 4.3345e+02 4.8397e+02 4.1750e+02 5.2095e+02 4.4997e+02
77.6259 4.6678e+02 4.1096e+02 5.2428e+02 4.1616e+02 5.1925e+02 4.6260e+02 4.7089e+02 4.4363e+02 4.8992e+02 5.0494e+02 4.3205e+02 4.8239e+02 4.1616e+02 5.1925e+02 4.4853e+02
77.6759 4.6527e+02 4.0965e+02 5.2257e+02 4.1483e+02 5.1756e+02 4.6111e+02 4.6937e+02 4.4220e+02 4.8834e+02 5.0330e+02 4.3066e+02 4.8083e+02 4.1483e+02 5.1756e+02 4.4709e+02
77.7259 4.6377e+02 4.0834e+02 5.2086e+02 4.1350e+02 5.1587e+02 4.5962e+02 4.6786e+02 4.4078e+02 4.8676e+02 5.0167e+02 4.2927e+02 4.7926e+02 4.1350e+02 5.1587e+02 4.4567e+02
77.7759 4.6228e+02 4.0703e+02 5.1917e+02 4.1218e+02 5.1419e+02 4.5814e+02 4.6635e+02 4.3936e+02 4.8519e+02 5.0004e+02 4.2789e+02 4.7771e+02 4.1218e+02 5.1419e+02 4.4424e+02
77.8259 4.6079e+02 4.0573e+02 5.1747e+02 4.1086e+02 5.1251e+02 4.5667e+02 4.6484e+02 4.3795e+02 4.8363e+02 4.9842e+02 4.2651e+02 4.7616e+02 4.1086e+02 5.1251e+02 4.4282e+02
77.8760 4.5931e+02 4.0444e+02 5.1579e+02 4.0955e+02 5.1084e+02 4.5520e+02 4.6335e+02 4.3654e+02 4.8207e+02 4.9681e+02 4.2514e+02 4.7462e+02 4.0955e+02 5.1084e+02 4.4141e+02
77.9260 4.5783e+02 4.0315e+02 5.1411e+02 4.0824e+02 5.0918e+02 4.5374e+02 4.6185e+02 4.3514e+02 4.8052e+02 4.9520e+02 4.2377e+02 4.7308e+02 4.0824e+02 5.0918e+02 4.4000e+02
77.9760 4.5636e+02 4.0186e+02 5.1244e+02 4.0694e+02 5.0753e+02 4.5228e+02 4.6037e+02 4.3375e+02 4.7897e+02 4.9360e+02 4.2241e+02 4.7155e+02 4.0694e+02 5.0753e+02 4.3860e+02
78.0260 4.5489e+02 4.0058e+02 5.1078e+02 4.0564e+02 5.0588e+02 4.5083e+02 4.5888e+02 4.3235e+02 4.7743e+02 4.9201e+02 4.2105e+02 4.7002e+02 4.0564e+02 5.0588e+02 4.3721e+02
78.0760 4.5343e+02 3.9930e+02 5.0912e+02 4.0435e+02 5.0423e+02 4.4939e+02 4.5741e+02 4.3097e+02 4.7589e+02 4.9042e+02 4.1970e+02 4.6850e+02 4.0435e+02 5.0423e+02 4.3581e+02
78.1260 4.5198e+02 3.9803e+02 5.0747e+02 4.0306e+02 5.0260e+02 4.4795e+02 4.5594e+02 4.2959e+02 4.7437e+02 4.8884e+02 4.1835e+02 4.6699e+02 4.0306e+02 5.0260e+02 4.3443e+02
78.1761 4.5053e+02 3.9677e+02 5.0582e+02 4.0178e+02 5.0096e+02 4.4651e+02 4.5447e+02 4.2821e+02 4.7284e+02 4.8726e+02 4.1701e+02 4.6548e+02 4.0178e+02 5.0096e+02 4.3305e+02
78.2261 4.4908e+02 3.9550e+02 5.0418e+02 4.0050e+02 4.9934e+02 4.4508e+02 4.5301e+02 4.2684e+02 4.7132e+02 4.8569e+02 4.1567e+02 4.6398e+02 4.0050e+02 4.9934e+02 4.3167e+02
78.2761 4.4764e+02 3.9425e+02 5.0255e+02 3.9923e+02 4.9772e+02 4.4366e+02 4.5156e+02 4.2547e+02 4.6981e+02 4.8413e+02 4.1434e+02 4.6248e+02 3.9923e+02 4.9772e+02 4.3030e+02
78.3261 4.4621e+02 3.9299e+02 5.0092e+02 3.9796e+02 4.9611e+02 4.4224e+02 4.5011e+02 4.2411e+02 4.6830e+02 4.8257e+02 4.1301e+02 4.6099e+02 3.9796e+02 4.9611e+02 4.2893e+02
78.3761 4.4478e+02 3.9175e+02 4.9930e+02 3.9670e+02 4.9450e+02 4.4083e+02 4.4867e+02 4.2276e+02 4.6680e+02 4.8102e+02 4.1169e+02 4.5950e+02 3.9670e+02 4.9450e+02 4.2757e+02
78.4261 4.4336e+02 3.9050e+02 4.9769e+02 3.9544e+02 4.9290e+02 4.3942e+02 4.4723e+02 4.2141e+02 4.6531e+02 4.7947e+02 4.1037e+02 4.5802e+02 3.9544e+02 4.9290e+02 4.2622e+02
78.4762 4.4194e+02 3.8926e+02 4.9608e+02 3.9418e+02 4.9131e+02 4.3802e+02 4.4580e+02 4.2006e+02 4.6382e+02 4.7793e+02 4.0906e+02 4.5655e+02 3.9418e+02 4.9131e+02 4.2487e+02
78.5262 4.4053e+02 3.8803e+02 4.9448e+02 3.9293e+02 4.8972e+02 4.3662e+02 4.4437e+02 4.1872e+02 4.6233e+02 4.7639e+02 4.0775e+02 4.5508e+02 3.9293e+02 4.8972e+02 4.2352e+02
78.5762 4.3912e+02 3.8680e+02 4.9288e+02 3.9169e+02 4.8814e+02 4.3523e+02 4.4295e+02 4.1739e+02 4.6085e+02 4.7487e+02 4.0645e+02 4.5362e+02 3.9169e+02 4.8814e+02 4.2218e+02
78.6262 4.3772e+02 3.8558e+02 4.9129e+02 3.9045e+02 4.8656e+02 4.3384e+02 4.4154e+02 4.1606e+02 4.5938e+02 4.7334e+02 4.0515e+02 4.5216e+02 3.9045e+02 4.8656e+02 4.2085e+02
78.6762 4.3632e+02 3.8436e+02 4.8970e+02 3.8921e+02 4.8500e+02 4.3246e+02 4.4012e+02 4.1473e+02 4.5791e+02 4.7182e+02 4.0386e+02 4.5071e+02 3.8921e+02 4.8500e+02 4.1951e+02
78.7262 4.3493e+02 3.8314e+02 4.8813e+02 3.8798e+02 4.8343e+02 4.3108e+02 4.3872e+02 4.1341e+02 4.5645e+02 4.7031e+02 4.0257e+02 4.4926e+02 3.8798e+02 4.8343e+02 4.1819e+02
78.7763 4.3355e+02 3.8193e+02 4.8655e+02 3.8675e+02 4.8187e+02 4.2971e+02 4.3732e+02 4.1209e+02 4.5499e+02 4.6881e+02 4.0129e+02 4.4782e+02 3.8675e+02 4.8187e+02 4.1687e+02
78.8263 4.3216e+02 3.8072e+02 4.8499e+02 3.8553e+02 4.8032e+02 4.2834e+02 4.3592e+02 4.1078e+02 4.5354e+02 4.6730e+02 4.0001e+02 4.4638e+02 3.8553e+02 4.8032e+02 4.1555e+02
78.8763 4.3079e+02 3.7952e+02 4.8343e+02 3.8431e+02 4.7877e+02 4.2698e+02 4.3453e+02 4.0948e+02 4.5210e+02 4.6581e+02 3.9874e+02 4.4495e+02 3.8431e+02 4.7877e+02 4.1424e+02
78.9263 4.2942e+02 3.7832e+02 4.8187e+02 3.8310e+02 4.7723e+02 4.2562e+02 4.3315e+02 4.0818e+02 4.5066e+02 4.6432e+02 3.9747e+02 4.4353e+02 3.8310e+02 4.7723e+02 4.1294e+02
78.9763 4.2805e+02 3.7713e+02 4.8032e+02 3.8189e+02 4.7570e+02 4.2427e+02 4.3177e+02 4.0688e+02 4.4922e+02 4.6283e+02 3.9621e+02 4.4211e+02 3.8189e+02 4.7570e+02 4.1163e+02
79.0263 4.2669e+02 3.7594e+02 4.7878e+02 3.8069e+02 4.7417e+02 4.2292e+02 4.3039e+02 4.0559e+02 4.4779e+02 4.6136e+02 3.9495e+02 4.4069e+02 3.8069e+02 4.7417e+02 4.1034e+02
79.0764 4.2534e+02 3.7475e+02 4.7724e+02 3.7949e+02 4.7265e+02 4.2158e+02 4.2902e+02 4.0430e+02 4.4637e+02 4.5988e+02 3.9369e+02 4.3928e+02 3.7949e+02 4.7265e+02 4.0905e+02
79.1264 4.2399e+02 3.7357e+02 4.7571e+02 3.7829e+02 4.7113e+02 4.2025e+02 4.2766e+02 4.0302e+02 4.4495e+02 4.5842e+02 3.9244e+02 4.3788e+02 3.7829e+02 4.7113e+02 4.0776e+02
79.1764 4.2264e+02 3.7240e+02 4.7418e+02 3.7710e+02 4.6962e+02 4.1892e+02 4.2630e+02 4.0174e+02 4.4353e+02 4.5695e+02 3.9120e+02 4.3648e+02 3.7710e+02 4.6962e+02 4.0648e+02
79.2264 4.2130e+02 3.7123e+02 4.7267e+02 3.7591e+02 4.6811e+02 4.1759e+02 4.2495e+02 4.0047e+02 4.4212e+02 4.5550e+02 3.8996e+02 4.3508e+02 3.7591e+02 4.6811e+02 4.0520e+02
79.2764 4.1996e+02 3.7006e+02 4.7115e+02 3.7473e+02 4.6661e+02 4.1627e+02 4.2360e+02 3.9920e+02 4.4072e+02 4.5405e+02 3.8872e+02 4.3370e+02 3.7473e+02 4.6661e+02 4.0393e+02
79.3264 4.1863e+02 3.6890e+02 4.6964e+02 3.7355e+02 4.6512e+02 4.1495e+02 4.2225e+02 3.9794e+02 4.3932e+02 4.5260e+02 3.8749e+02 4.3231e+02 3.7355e+02 4.6512e+02 4.0266e+02
79.3765 4.1731e+02 3.6774e+02 4.6814e+02 3.7238e+02 4.6363e+02 4.1364e+02 4.2092e+02 3.9668e+02 4.3793e+02 4.5116e+02 3.8626e+02 4.3094e+02 3.7238e+02 4.6363e+02 4.0139e+02
79.4265 4.1599e+02 3.6658e+02 4.6664e+02 3.7121e+02 4.6214e+02 4.1233e+02 4.1958e+02 3.9543e+02 4.3654e+02 4.4973e+02 3.8504e+02 4.2956e+02 3.7121e+02 4.6214e+02 4.0013e+02
79.4765 4.1467e+02 3.6543e+02 4.6515e+02 3.7005e+02 4.6067e+02 4.1103e+02 4.1825e+02 3.9418e+02 4.3516e+02 4.4830e+02 3.8382e+02 4.2819e+02 3.7005e+02 4.6067e+02 3.9888e+02
79.5265 4.1336e+02 3.6429e+02 4.6367e+02 3.6889e+02 4.5919e+02 4.0973e+02 4.1693e+02 3.9294e+02 4.3378e+02 4.4687e+02 3.8261e+02 4.2683e+02 3.6889e+02 4.5919e+02 3.9763e+02
79.5765 4.1205e+02 3.6314e+02 4.6218e+02 3.6773e+02 4.5773e+02 4.0844e+02 4.1561e+02 3.9170e+02 4.3241e+02 4.4545e+02 3.8140e+02 4.2547e+02 3.6773e+02 4.5773e+02 3.9639e+02
79.6265 4.1075e+02 3.6201e+02 4.6071e+02 3.6658e+02 4.5627e+02 4.0715e+02 4.1430e+02 3.9046e+02 4.3104e+02 4.4404e+02 3.8019e+02 4.2412e+02 3.6658e+02 4.5627e+02 3.9515e+02
79.6766 4.0945e+02 3.6087e+02 4.5924e+02 3.6543e+02 4.5481e+02 4.0587e+02 4.1299e+02 3.8923e+02 4.2968e+02 4.4263e+02 3.7899e+02 4.2277e+02 3.6543e+02 4.5481e+02 3.9391e+02
79.7266 4.0816e+02 3.5974e+02 4.5778e+02 3.6429e+02 4.5336e+02 4.0459e+02 4.1168e+02 3.8800e+02 4.2832e+02 4.4123e+02 3.7780e+02 4.2143e+02 3.6429e+02 4.5336e+02 3.9268e+02
79.7766 4.0688e+02 3.5862e+02 4.5632e+02 3.6315e+02 4.5192e+02 4.0331e+02 4.1038e+02 3.8678e+02 4.2697e+02 4.3983e+02 3.7661e+02 4.2009e+02 3.6315e+02 4.5192e+02 3.9145e+02
79.8266 4.0559e+02 3.5750e+02 4.5486e+02 3.6201e+02 4.5048e+02 4.0204e+02 4.0909e+02 3.8557e+02 4.2562e+02 4.3844e+02 3.7542e+02 4.1876e+02 3.6201e+02 4.5048e+02 3.9023e+02
79.8766 4.0432e+02 3.5638e+02 4.5342e+02 3.6088e+02 4.4904e+02 4.0078e+02 4.0780e+02 3.8435e+02 4.2428e+02 4.3705e+02 3.7424e+02 4.1743e+02 3.6088e+02 4.4904e+02 3.8901e+02
