# FONLL heavy quark hadroproduction cross section, calculated on Tue Dec 28 18:00:00 CET 2021
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = meson. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# ptmin = 0.
# ptmax = 150.
# ymin  = -0.5
# ymax  = 0.5
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
pt central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=dot5dot5 fr=22 fr=21 fr=12 fr=1dot5 fr=dot51
1.6506 7.8234e+06 3.5480e+06 1.1852e+07 3.9494e+06 1.1283e+07 6.4942e+06 9.4820e+06 6.5968e+06 9.0500e+06 6.5123e+06 8.2477e+06 1.0198e+07 5.7760e+06 1.1283e+07 3.9494e+06
1.7006 7.9530e+06 3.6212e+06 1.2030e+07 4.0282e+06 1.1454e+07 6.6068e+06 9.6314e+06 6.7091e+06 9.1969e+06 6.6337e+06 8.3820e+06 1.0356e+07 5.8765e+06 1.1454e+07 4.0282e+06
1.7506 8.0760e+06 3.6921e+06 1.2199e+07 4.1041e+06 1.1616e+07 6.7141e+06 9.7726e+06 6.8160e+06 9.3361e+06 6.7502e+06 8.5093e+06 1.0505e+07 5.9722e+06 1.1616e+07 4.1041e+06
1.8006 8.1926e+06 3.7605e+06 1.2358e+07 4.1772e+06 1.1769e+07 6.8162e+06 9.9056e+06 6.9176e+06 9.4675e+06 6.8617e+06 8.6295e+06 1.0646e+07 6.0631e+06 1.1769e+07 4.1772e+06
1.8506 8.3027e+06 3.8265e+06 1.2507e+07 4.2474e+06 1.1913e+07 6.9132e+06 1.0031e+07 7.0141e+06 9.5914e+06 6.9684e+06 8.7427e+06 1.0779e+07 6.1492e+06 1.1913e+07 4.2474e+06
1.9006 8.4065e+06 3.8900e+06 1.2647e+07 4.3149e+06 1.2048e+07 7.0050e+06 1.0148e+07 7.1053e+06 9.7077e+06 7.0703e+06 8.8490e+06 1.0904e+07 6.2305e+06 1.2048e+07 4.3149e+06
1.9507 8.5041e+06 3.9511e+06 1.2777e+07 4.3796e+06 1.2174e+07 7.0917e+06 1.0257e+07 7.1915e+06 9.8166e+06 7.1674e+06 8.9485e+06 1.1021e+07 6.3071e+06 1.2174e+07 4.3796e+06
2.0007 8.5954e+06 4.0098e+06 1.2899e+07 4.4414e+06 1.2291e+07 7.1734e+06 1.0359e+07 7.2726e+06 9.9182e+06 7.2597e+06 9.0414e+06 1.1131e+07 6.3791e+06 1.2291e+07 4.4414e+06
2.0507 8.6808e+06 4.0662e+06 1.3011e+07 4.5006e+06 1.2401e+07 7.2502e+06 1.0453e+07 7.3489e+06 1.0013e+07 7.3474e+06 9.1275e+06 1.1232e+07 6.4464e+06 1.2401e+07 4.5006e+06
2.1007 8.7602e+06 4.1201e+06 1.3115e+07 4.5570e+06 1.2503e+07 7.3221e+06 1.0540e+07 7.4204e+06 1.0100e+07 7.4305e+06 9.2072e+06 1.1327e+07 6.5093e+06 1.2503e+07 4.5570e+06
2.1507 8.8339e+06 4.1717e+06 1.3211e+07 4.6107e+06 1.2597e+07 7.3894e+06 1.0619e+07 7.4872e+06 1.0181e+07 7.5092e+06 9.2804e+06 1.1414e+07 6.5676e+06 1.2597e+07 4.6107e+06
2.2007 8.9018e+06 4.2210e+06 1.3299e+07 4.6617e+06 1.2684e+07 7.4520e+06 1.0692e+07 7.5493e+06 1.0254e+07 7.5833e+06 9.3473e+06 1.1495e+07 6.6215e+06 1.2684e+07 4.6617e+06
2.2508 8.9642e+06 4.2679e+06 1.3379e+07 4.7100e+06 1.2763e+07 7.5100e+06 1.0758e+07 7.6068e+06 1.0322e+07 7.6530e+06 9.4080e+06 1.1568e+07 6.6711e+06 1.2763e+07 4.7100e+06
2.3008 9.0210e+06 4.3125e+06 1.3451e+07 4.7556e+06 1.2835e+07 7.5635e+06 1.0817e+07 7.6598e+06 1.0382e+07 7.7184e+06 9.4628e+06 1.1635e+07 6.7164e+06 1.2835e+07 4.7556e+06
2.3508 9.0725e+06 4.3547e+06 1.3515e+07 4.7987e+06 1.2900e+07 7.6126e+06 1.0870e+07 7.7085e+06 1.0436e+07 7.7795e+06 9.5116e+06 1.1696e+07 6.7576e+06 1.2900e+07 4.7987e+06
2.4008 9.1187e+06 4.3947e+06 1.3572e+07 4.8391e+06 1.2958e+07 7.6574e+06 1.0916e+07 7.7528e+06 1.0485e+07 7.8363e+06 9.5548e+06 1.1749e+07 6.7947e+06 1.2958e+07 4.8391e+06
2.4508 9.1598e+06 4.4324e+06 1.3622e+07 4.8770e+06 1.3009e+07 7.6979e+06 1.0956e+07 7.7928e+06 1.0527e+07 7.8889e+06 9.5923e+06 1.1797e+07 6.8278e+06 1.3009e+07 4.8770e+06
2.5008 9.1958e+06 4.4678e+06 1.3665e+07 4.9123e+06 1.3054e+07 7.7342e+06 1.0991e+07 7.8287e+06 1.0563e+07 7.9375e+06 9.6245e+06 1.1838e+07 6.8571e+06 1.3054e+07 4.9123e+06
2.5509 9.2270e+06 4.5010e+06 1.3701e+07 4.9451e+06 1.3092e+07 7.7665e+06 1.1019e+07 7.8605e+06 1.0594e+07 7.9820e+06 9.6512e+06 1.1874e+07 6.8825e+06 1.3092e+07 4.9451e+06
2.6009 9.2533e+06 4.5321e+06 1.3730e+07 4.9755e+06 1.3124e+07 7.7948e+06 1.1041e+07 7.8884e+06 1.0618e+07 8.0226e+06 9.6725e+06 1.1903e+07 6.9041e+06 1.3124e+07 4.9755e+06
2.6509 9.2750e+06 4.5609e+06 1.3753e+07 5.0033e+06 1.3150e+07 7.8193e+06 1.1058e+07 7.9123e+06 1.0638e+07 8.0592e+06 9.6886e+06 1.1927e+07 6.9220e+06 1.3150e+07 5.0033e+06
2.7009 9.2920e+06 4.5876e+06 1.3770e+07 5.0288e+06 1.3171e+07 7.8400e+06 1.1069e+07 7.9325e+06 1.0652e+07 8.0920e+06 9.6997e+06 1.1944e+07 6.9363e+06 1.3171e+07 5.0288e+06
2.7509 9.3046e+06 4.6121e+06 1.3780e+07 5.0519e+06 1.3185e+07 7.8569e+06 1.1074e+07 7.9489e+06 1.0660e+07 8.1211e+06 9.7058e+06 1.1957e+07 6.9471e+06 1.3185e+07 5.0519e+06
2.8009 9.3129e+06 4.6346e+06 1.3785e+07 5.0726e+06 1.3194e+07 7.8703e+06 1.1075e+07 7.9618e+06 1.0664e+07 8.1465e+06 9.7071e+06 1.1964e+07 6.9544e+06 1.3194e+07 5.0726e+06
2.8510 9.3170e+06 4.6550e+06 1.3783e+07 5.0911e+06 1.3198e+07 7.8802e+06 1.1070e+07 7.9711e+06 1.0663e+07 8.1682e+06 9.7039e+06 1.1966e+07 6.9585e+06 1.3198e+07 5.0911e+06
2.9010 9.3170e+06 4.6734e+06 1.3776e+07 5.1073e+06 1.3196e+07 7.8867e+06 1.1061e+07 7.9771e+06 1.0657e+07 8.1865e+06 9.6962e+06 1.1962e+07 6.9594e+06 1.3196e+07 5.1073e+06
2.9510 9.3131e+06 4.6898e+06 1.3764e+07 5.1213e+06 1.3190e+07 7.8900e+06 1.1047e+07 7.9797e+06 1.0646e+07 8.2013e+06 9.6841e+06 1.1954e+07 6.9571e+06 1.3190e+07 5.1213e+06
3.0010 9.3053e+06 4.7043e+06 1.3746e+07 5.1331e+06 1.3178e+07 7.8899e+06 1.1028e+07 7.9791e+06 1.0632e+07 8.2127e+06 9.6680e+06 1.1941e+07 6.9519e+06 1.3178e+07 5.1331e+06
3.0510 9.2939e+06 4.7168e+06 1.3724e+07 5.1428e+06 1.3161e+07 7.8868e+06 1.1005e+07 7.9754e+06 1.0612e+07 8.2209e+06 9.6478e+06 1.1923e+07 6.9438e+06 1.3161e+07 5.1428e+06
