# Job started on: Wed Aug  4 01:17:48 CEST 2021 ........
# FONLL heavy quark hadroproduction cross section, calculated on Wed Aug  4 01:19:06 CEST 2021
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = meson (meson = D0). NP params (cm,lm,hm) = 0.1, 0.06, 0.135
# BR(q->meson) = 1
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# ptmin = 0
# ptmax = 12
# ymin  = -0.5
# ymax  = 0.5
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf   fr=.5 .5     fr=2 2     fr=2 1     fr=1 2    fr=1 .5    fr=.5 1
pt central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
4.9412 3.4355e+07 1.8706e+07 5.6977e+07 1.9846e+07 5.5790e+07 2.9588e+07 4.0731e+07 3.0943e+07 3.7767e+07 3.3975e+07 3.2702e+07 4.6021e+07 2.3564e+07 5.5790e+07 1.9846e+07
5.0420 3.2241e+07 1.7823e+07 5.3149e+07 1.8886e+07 5.2050e+07 2.7831e+07 3.8130e+07 2.9066e+07 3.5416e+07 3.2130e+07 3.0626e+07 4.2960e+07 2.2194e+07 5.2050e+07 1.8886e+07
5.1429 3.0275e+07 1.6980e+07 4.9616e+07 1.7973e+07 4.8596e+07 2.6193e+07 3.5719e+07 2.7317e+07 3.3234e+07 3.0390e+07 2.8702e+07 4.0133e+07 2.0915e+07 4.8596e+07 1.7973e+07
5.2437 2.8446e+07 1.6175e+07 4.6351e+07 1.7103e+07 4.5406e+07 2.4665e+07 3.3481e+07 2.5687e+07 3.1205e+07 2.8749e+07 2.6918e+07 3.7520e+07 1.9719e+07 4.5406e+07 1.7103e+07
5.3445 2.6743e+07 1.5407e+07 4.3334e+07 1.6274e+07 4.2456e+07 2.3239e+07 3.1404e+07 2.4168e+07 2.9319e+07 2.7202e+07 2.5262e+07 3.5104e+07 1.8602e+07 4.2456e+07 1.6274e+07
5.4454 2.5157e+07 1.4675e+07 4.0542e+07 1.5486e+07 3.9727e+07 2.1908e+07 2.9473e+07 2.2750e+07 2.7564e+07 2.5743e+07 2.3724e+07 3.2868e+07 1.7556e+07 3.9727e+07 1.5486e+07
5.5462 2.3678e+07 1.3978e+07 3.7958e+07 1.4738e+07 3.7200e+07 2.0663e+07 2.7679e+07 2.1427e+07 2.5930e+07 2.4369e+07 2.2294e+07 3.0796e+07 1.6577e+07 3.7200e+07 1.4738e+07
5.6471 2.2300e+07 1.3317e+07 3.5563e+07 1.4028e+07 3.4858e+07 1.9499e+07 2.6011e+07 2.0192e+07 2.4407e+07 2.3075e+07 2.0964e+07 2.8875e+07 1.5661e+07 3.4858e+07 1.4028e+07
5.7479 2.1013e+07 1.2688e+07 3.3343e+07 1.3356e+07 3.2686e+07 1.8410e+07 2.4458e+07 1.9039e+07 2.2987e+07 2.1856e+07 1.9726e+07 2.7093e+07 1.4803e+07 3.2686e+07 1.3356e+07
5.8487 1.9812e+07 1.2091e+07 3.1283e+07 1.2718e+07 3.0670e+07 1.7391e+07 2.3013e+07 1.7960e+07 2.1663e+07 2.0708e+07 1.8572e+07 2.5438e+07 1.3999e+07 3.0670e+07 1.2718e+07
